avg_reward -0.28637310986824305 loss 0
avg_reward -0.2581002553787501 loss 0
avg_reward 0.12595524993576482 loss 0
avg_reward 0.17129045290505152 loss 0
avg_reward 0.1485604555655178 loss 0
avg_reward 0.37412768170716865 loss 0
avg_reward 0.05907896311539046 loss 0
avg_reward 0.05672516397892893 loss 0
avg_reward 0.09218782353439327 loss 0
avg_reward 0.13701612037929548 loss 0
avg_reward 0.05261313314713581 loss tensor(0.0717, grad_fn=<MeanBackward0>)
avg_reward 0.08319666467327258 loss tensor(0.0569, grad_fn=<MeanBackward0>)
avg_reward 0.14540608976364722 loss tensor(0.0862, grad_fn=<MeanBackward0>)
avg_reward 0.16156825721246146 loss tensor(0.0822, grad_fn=<MeanBackward0>)
avg_reward -0.44460941233989465 loss tensor(0.0892, grad_fn=<MeanBackward0>)
avg_reward -0.004161874612487929 loss tensor(0.0747, grad_fn=<MeanBackward0>)
avg_reward 0.1919109639923567 loss tensor(0.0752, grad_fn=<MeanBackward0>)
avg_reward -0.04342867186091284 loss tensor(0.0724, grad_fn=<MeanBackward0>)
avg_reward 0.08634495153803312 loss tensor(0.0601, grad_fn=<MeanBackward0>)
avg_reward 0.18296421162752896 loss tensor(0.0973, grad_fn=<MeanBackward0>)
avg_reward 0.06190875916711202 loss tensor(0.0872, grad_fn=<MeanBackward0>)
avg_reward 0.13217835651485743 loss tensor(0.0624, grad_fn=<MeanBackward0>)
avg_reward 0.15783635723930386 loss tensor(0.0556, grad_fn=<MeanBackward0>)
avg_reward 0.01670457397123057 loss tensor(0.0895, grad_fn=<MeanBackward0>)
avg_reward -0.4875721216504295 loss tensor(0.0753, grad_fn=<MeanBackward0>)
avg_reward 0.11797948632836444 loss tensor(0.0793, grad_fn=<MeanBackward0>)
avg_reward 0.10562578504111152 loss tensor(0.0731, grad_fn=<MeanBackward0>)
avg_reward 0.3704544343729551 loss tensor(0.0658, grad_fn=<MeanBackward0>)
avg_reward 0.053979825289174166 loss tensor(0.0720, grad_fn=<MeanBackward0>)
avg_reward 0.16666855068725273 loss tensor(0.0615, grad_fn=<MeanBackward0>)
